"The 2003 discovery of an early fossil bat from the 52-million-year-old Green River Formation, Onychonycteris finneyi, indicates that flight evolved before echolocative abilities.",8,38:41
"This suggests that this bat did not fly as much as modern bats, but flew from tree to tree and spent most of its time climbing or hanging on branches.",5,24:27
"In 1758, Carl Linnaeus classified the seven bat species he knew of in the genus Vespertilio in the order Primates.",9,44:47
Below is a table chart following the bat classification of families recognised by various authors of the ninth volume of Handbook of the Mammals of the World published in 2019.,8,37:40
"The fastest bat, the Mexican free-tailed bat (Tadarida brasiliensis), can achieve a ground speed of 160 km/h.",3,12:15
"The extent to which the tail of a bat is attached to a patagium can vary by species, with some having completely free tails or even no tails.",9,34:37
"The skin on the body of the bat, which has one layer of epidermis and dermis, as well as hair follicles, sweat glands and a fatty subcutaneous layer, is very different from the skin of the wing membrane.",8,28:31
Depending on the bat species the presence of hair follicles and sweat glands will vary in the patagium.,4,17:20
"For bat embryos, apoptosis (programmed cell death) affects only the hindlimbs, while the forelimbs retain webbing between the digits that forms into the wing membranes.",2,4:7
he tube-lipped nectar bat (Anoura fistulata) has the longest tongue of any mammal relative to its body size.,7,22:25
Many rainforest and Mediterranean plants depend on bat pollination.,8,51:54
"Most bat species are polygynous, where males mate with multiple females.",2,5:8
"Promiscuity, where both sexes mate with multiple partners, exists in species like the Mexican free-tailed bat and the little brown bat",23,106:109
"In most bat species, females carry and give birth to a single pup per litter.",3,8:11
"At birth, a bat pup can be up to 40 percent of the mother's weight, and the pelvic girdle of the female can expand during birth as the two halves are connected by a flexible ligament.",5,12:15
The common vampire bat nurses its offspring beyond that and young vampire bats achieve independence later in life than other species.,4,19:22
"A bat swooped low over the glowing jack-o’-lanterns, startling the children who clutched their candy bags.",2,2:5
"In Western culture, the bat is often a symbol of the night and its foreboding nature.",6,24:27
"An East Nigerian tale tells that the bat developed its nocturnal habits after causing the death of his partner, the bush-rat, and now hides by day to avoid arrest.",8,37:40
"Effective conservation efforts ought to focus on habitat and roost protection, improving landscape connectivity, and establishing international monitoring programs to safeguard bat populations and their associated ecosystem services.",25,177:180
"A recent study used species distribution models alongside a comprehensive ecological and morphometrical trait database to assess how projected future climate and land-use changes might impact the distribution, composition, and functional diversity of the European bat community.",43,264:267
"The 1991 University of Florida bat house is the largest occupied artificial roost in the world, with around 400,000 residents.",6,31:34
"As the sun dipped below the horizon, a solitary bat flitted through the dense canopy, its wings barely making a sound as it hunted for nocturnal insects among the ancient trees.",11,48:51
"She dressed as a witch, carrying a crooked staff decorated with a carved bat at the top.",15,73:76
"The forest was eerily silent, except for the occasional bat screeching as it dove and weaved between the towering trunks, navigating the pitch-black environment with echolocation.",12,56:59
"The old mansion’s door creaked open, and a bat darted out into the eerie Halloween night.",12,43:46
"Sarah gripped her baseball bat tightly as she navigated the dark forest trail, using it to push aside low-hanging branches.",5,27:30
"A fruit bat hung upside down from a fig tree, its leathery wings folded as it dozed in the dappled sunlight filtering through the canopy.",3,8:11
"At dusk, a bat swooped silently between the trees, its wings brushing the cool night air.",5,11:14
"A sudden rustle echoed through the cave, and the children gasped as a lone bat darted past them, disappearing into the shadowy depths.",17,75:78
